id;code;orderDate;shipDate;shipMode;id_customers;Customer ID
1;CA-2016-152156;8/11/2016;11/11/2016;Second Class;1;CG-12520
2;CA-2016-138688;12/6/2016;16/6/2016;Second Class;2;DV-13045
3;US-2015-108966;11/10/2015;18/10/2015;Standard Class;3;SO-20335
4;CA-2014-115812;9/6/2014;14/6/2014;Standard Class;4;BH-11710
5;CA-2017-114412;15/4/2017;20/4/2017;Standard Class;5;AA-10480
6;CA-2016-161389;5/12/2016;10/12/2016;Standard Class;6;IM-15070
7;US-2015-118983;22/11/2015;26/11/2015;Standard Class;7;HP-14815
8;CA-2014-105893;11/11/2014;18/11/2014;Standard Class;8;PK-19075
9;CA-2014-167164;13/5/2014;15/5/2014;Second Class;9;AG-10270
10;CA-2014-143336;27/8/2014;1/9/2014;Second Class;10;ZD-21925
11;CA-2016-137330;9/12/2016;13/12/2016;Standard Class;11;KB-16585
12;US-2017-156909;16/7/2017;18/7/2017;Second Class;12;SF-20065
13;CA-2015-106320;25/9/2015;30/9/2015;Standard Class;13;EB-13870
14;CA-2016-121755;16/1/2016;20/1/2016;Second Class;14;EH-13945
15;US-2015-150630;17/9/2015;21/9/2015;Standard Class;15;TB-21520
16;CA-2017-107727;19/10/2017;23/10/2017;Second Class;16;MA-17560
17;CA-2016-117590;8/12/2016;10/12/2016;First Class;17;GH-14485
18;CA-2015-117415;27/12/2015;31/12/2015;Standard Class;18;SN-20710
19;CA-2017-120999;10/9/2017;15/9/2017;Standard Class;19;LC-16930
20;CA-2016-101343;17/7/2016;22/7/2016;Standard Class;20;RA-19885
21;CA-2017-139619;19/9/2017;23/9/2017;Standard Class;21;ES-14080
22;CA-2016-118255;11/3/2016;13/3/2016;First Class;22;ON-18715
23;CA-2014-146703;20/10/2014;25/10/2014;Second Class;23;PO-18865
24;CA-2016-169194;20/6/2016;25/6/2016;Standard Class;24;LH-16900
25;CA-2015-115742;18/4/2015;22/4/2015;Standard Class;25;DP-13000
26;CA-2016-105816;11/12/2016;17/12/2016;Standard Class;26;JM-15265
27;CA-2016-111682;17/6/2016;18/6/2016;First Class;27;TB-21055
28;CA-2015-135545;24/11/2015;30/11/2015;Standard Class;28;KM-16720
29;US-2015-164175;30/4/2015;5/5/2015;Standard Class;29;PS-18970
30;CA-2014-106376;5/12/2014;10/12/2014;Standard Class;30;BS-11590
31;CA-2016-119823;4/6/2016;6/6/2016;First Class;31;KD-16270
32;CA-2016-106075;18/9/2016;23/9/2016;Standard Class;32;HM-14980
33;CA-2017-114440;14/9/2017;17/9/2017;Second Class;15;TB-21520
34;US-2015-134026;26/4/2015;2/5/2015;Standard Class;33;JE-15745
35;US-2017-118038;9/12/2017;11/12/2017;First Class;34;KB-16600
36;US-2014-147606;26/11/2014;1/12/2014;Second Class;33;JE-15745
37;CA-2016-127208;12/6/2016;15/6/2016;First Class;35;SC-20770
38;CA-2014-139451;12/10/2014;16/10/2014;Standard Class;36;DN-13690
39;CA-2015-149734;3/9/2015;8/9/2015;Standard Class;37;JC-16105
40;US-2017-119662;13/11/2017;16/11/2017;First Class;38;CS-12400
41;CA-2017-140088;28/5/2017;30/5/2017;Second Class;23;PO-18865
42;CA-2017-155558;26/10/2017;2/11/2017;Standard Class;39;PG-18895
43;CA-2016-159695;5/4/2016;10/4/2016;Second Class;40;GM-14455
44;CA-2016-109806;17/9/2016;22/9/2016;Standard Class;41;JS-15685
45;CA-2015-149587;31/1/2015;5/2/2015;Second Class;42;KB-16315
46;US-2017-109484;6/11/2017;12/11/2017;Standard Class;43;RB-19705
47;CA-2017-161018;9/11/2017;11/11/2017;Second Class;44;PN-18775
48;CA-2017-157833;17/6/2017;20/6/2017;First Class;45;KD-16345
49;CA-2016-149223;6/9/2016;11/9/2016;Standard Class;46;ER-13855
50;CA-2016-158568;29/8/2016;2/9/2016;Standard Class;47;RB-19465
51;CA-2016-129903;1/12/2016;4/12/2016;Second Class;48;GZ-14470
52;US-2015-156867;13/11/2015;17/11/2015;Standard Class;49;LC-16870
53;CA-2017-119004;23/11/2017;28/11/2017;Standard Class;50;JM-15250
54;CA-2015-129476;15/10/2015;20/10/2015;Standard Class;51;PA-19060
55;CA-2017-146780;25/12/2017;30/12/2017;Standard Class;52;CV-12805
56;CA-2016-128867;3/11/2016;10/11/2016;Standard Class;53;CL-12565
57;CA-2014-115259;25/8/2014;27/8/2014;Second Class;54;RC-19960
58;CA-2015-110457;2/3/2015;6/3/2015;Standard Class;55;DK-13090
59;US-2015-136476;5/4/2015;10/4/2015;Standard Class;56;GG-14650
60;CA-2016-103730;12/6/2016;15/6/2016;First Class;57;SC-20725
61;US-2014-152030;26/12/2014;28/12/2014;Second Class;58;AD-10180
62;US-2014-134614;20/9/2014;25/9/2014;Standard Class;59;PF-19165
63;US-2017-107272;5/11/2017;12/11/2017;Standard Class;60;TS-21610
64;US-2016-125969;6/11/2016;10/11/2016;Second Class;61;LS-16975
65;US-2017-164147;2/2/2017;5/2/2017;First Class;62;DW-13585
66;CA-2016-145583;13/10/2016;19/10/2016;Standard Class;63;LC-16885
67;CA-2016-110366;5/9/2016;7/9/2016;Second Class;64;JD-15895
68;CA-2017-106180;18/9/2017;23/9/2017;Standard Class;65;SH-19975
69;CA-2017-155376;22/12/2017;27/12/2017;Standard Class;66;SG-20080
70;CA-2015-110744;7/9/2015;12/9/2015;Standard Class;67;HA-14920
71;CA-2014-110072;22/10/2014;28/10/2014;Standard Class;68;MG-17680
72;CA-2016-114489;5/12/2016;9/12/2016;Standard Class;69;JE-16165
73;CA-2016-158834;13/3/2016;16/3/2016;First Class;70;TW-21025
74;CA-2015-124919;31/5/2015;2/6/2015;First Class;71;SP-20650
75;CA-2015-118948;28/5/2015;3/6/2015;Standard Class;72;NK-18490
76;CA-2014-104269;1/3/2014;6/3/2014;Second Class;73;DB-13060
77;CA-2016-114104;20/11/2016;24/11/2016;Standard Class;74;NP-18670
78;CA-2016-162733;11/5/2016;12/5/2016;First Class;75;TT-21070
79;CA-2015-119697;28/12/2015;31/12/2015;Second Class;76;EM-13960
80;CA-2016-154508;16/11/2016;20/11/2016;Standard Class;77;RD-19900
81;CA-2016-113817;7/11/2016;11/11/2016;Standard Class;78;MJ-17740
82;CA-2014-139892;8/9/2014;12/9/2014;Standard Class;79;BM-11140
83;CA-2014-118962;5/8/2014;9/8/2014;Standard Class;80;CS-12130
84;US-2014-100853;14/9/2014;19/9/2014;Standard Class;81;JB-15400
85;US-2017-152366;21/4/2017;25/4/2017;Second Class;82;SJ-20500
86;US-2015-101511;21/11/2015;23/11/2015;Second Class;33;JE-15745
87;CA-2015-137225;15/12/2015;19/12/2015;Standard Class;83;JK-15640
88;CA-2014-166191;5/12/2014;9/12/2014;Second Class;84;DK-13150
89;CA-2014-158274;19/11/2014;24/11/2014;Second Class;85;RM-19675
90;CA-2016-105018;28/11/2016;2/12/2016;Standard Class;86;SK-19990
91;CA-2014-123260;26/8/2014;30/8/2014;Standard Class;87;FM-14290
92;CA-2016-157000;16/7/2016;22/7/2016;Standard Class;88;AM-10360
93;CA-2015-102281;12/10/2015;14/10/2015;First Class;89;MP-17470
94;CA-2015-131457;31/10/2015;6/11/2015;Standard Class;90;MZ-17515
95;CA-2014-140004;21/3/2014;25/3/2014;Standard Class;91;CB-12025
96;CA-2017-107720;6/11/2017;13/11/2017;Standard Class;92;VM-21685
97;US-2017-124303;6/7/2017;13/7/2017;Standard Class;93;FH-14365
98;CA-2017-105074;24/6/2017;29/6/2017;Standard Class;94;MB-17305
99;CA-2014-133690;3/8/2014;5/8/2014;First Class;95;BS-11755
100;US-2017-116701;17/12/2017;21/12/2017;Second Class;96;LC-17140
101;CA-2017-126382;3/6/2017;7/6/2017;Standard Class;97;HK-14890
102;CA-2017-108329;9/12/2017;14/12/2017;Standard Class;98;LE-16810
103;CA-2017-135860;1/12/2017;7/12/2017;Standard Class;99;JH-15985
104;CA-2015-101007;9/2/2015;13/2/2015;Second Class;100;MS-17980
105;CA-2015-146262;2/1/2015;9/1/2015;Standard Class;101;VW-21775
106;CA-2016-130162;28/10/2016;1/11/2016;Standard Class;102;JH-15910
107;CA-2015-169397;24/12/2015;27/12/2015;First Class;103;JB-15925
108;CA-2015-163055;9/8/2015;16/8/2015;Standard Class;104;DS-13180
109;US-2015-145436;28/2/2015;4/3/2015;Standard Class;105;VD-21670
110;US-2014-156216;13/9/2014;17/9/2014;Standard Class;106;EA-14035
111;US-2017-100930;7/4/2017;12/4/2017;Standard Class;38;CS-12400
112;CA-2017-160514;12/11/2017;16/11/2017;Standard Class;107;DB-13120
113;CA-2016-157749;4/6/2016;9/6/2016;Second Class;108;KL-16645
114;CA-2014-131926;1/6/2014;6/6/2014;Second Class;109;DW-13480
115;CA-2016-154739;10/12/2016;15/12/2016;Second Class;110;LH-17155
116;CA-2016-145625;11/9/2016;17/9/2016;Standard Class;111;KC-16540
117;CA-2016-146941;10/12/2016;13/12/2016;First Class;112;DL-13315
118;US-2015-159982;28/11/2015;4/12/2015;Standard Class;113;DR-12880
119;CA-2017-163139;1/12/2017;3/12/2017;Second Class;114;CC-12670
120;US-2017-155299;8/6/2017;12/6/2017;Standard Class;115;Dl-13600
121;US-2014-106992;19/9/2014;21/9/2014;Second Class;116;SB-20290
122;CA-2016-125318;6/6/2016;13/6/2016;Standard Class;117;RC-19825
123;CA-2015-155040;10/11/2015;15/11/2015;Standard Class;118;AH-10210
124;CA-2017-136826;16/6/2017;20/6/2017;Standard Class;119;CB-12535
125;CA-2016-111010;22/1/2016;28/1/2016;Standard Class;39;PG-18895
126;US-2017-145366;9/12/2017;13/12/2017;Standard Class;120;CA-12310
127;CA-2017-163979;28/12/2017;2/1/2018;Second Class;121;KH-16690
128;CA-2015-155334;30/7/2015;31/7/2015;First Class;67;HA-14920
129;CA-2017-118136;16/9/2017;17/9/2017;First Class;122;BB-10990
130;CA-2017-132976;13/10/2017;17/10/2017;Standard Class;123;AG-10495
131;US-2015-161991;26/9/2015;28/9/2015;Second Class;57;SC-20725
132;CA-2015-130890;2/11/2015;6/11/2015;Standard Class;124;JO-15280
133;CA-2015-130883;26/9/2015;2/10/2015;Standard Class;15;TB-21520
134;CA-2016-112697;18/12/2016;20/12/2016;Second Class;125;AH-10195
135;CA-2016-110772;20/11/2016;24/11/2016;Second Class;126;NZ-18565
136;CA-2014-111451;26/12/2014;28/12/2014;First Class;127;KL-16555
137;CA-2016-142545;28/10/2016;3/11/2016;Standard Class;64;JD-15895
138;US-2017-152380;19/11/2017;23/11/2017;Standard Class;102;JH-15910
139;CA-2015-144253;4/5/2015;9/5/2015;Second Class;128;AS-10225
140;CA-2014-130960;30/12/2014;4/1/2015;Standard Class;34;KB-16600
141;CA-2014-111003;1/6/2014;6/6/2014;Standard Class;129;CR-12625
142;CA-2017-126774;15/4/2017;17/4/2017;First Class;130;SH-20395
143;CA-2016-142902;12/9/2016;14/9/2016;Second Class;131;BP-11185
144;CA-2014-120887;27/9/2014;3/10/2014;Standard Class;132;TS-21205
145;CA-2014-167850;9/8/2014;16/8/2014;Standard Class;133;AG-10525
146;CA-2014-164259;28/12/2014;30/12/2014;First Class;134;SP-20860
147;CA-2014-164973;4/11/2014;9/11/2014;Standard Class;135;NM-18445
148;CA-2014-156601;19/9/2014;24/9/2014;Standard Class;136;FA-14230
149;CA-2016-162138;23/4/2016;27/4/2016;Standard Class;137;GK-14620
150;CA-2017-153339;3/11/2017;5/11/2017;Second Class;138;DJ-13510
151;US-2016-141544;30/8/2016;1/9/2016;First Class;139;PO-18850
