id;id_orders;id_products;sales;quantity;discount;profit;Order ID;Product ID
1;1;1;261,96;2;0;41,9136;CA-2016-152156;FUR-BO-10001798
2;1;2;731,94;3;0;219,582;CA-2016-152156;FUR-CH-10000454
3;2;3;14,62;2;0;6,8714;CA-2016-138688;OFF-LA-10000240
4;3;4;957,5775;5;0,45;-383,031;US-2015-108966;FUR-TA-10000577
5;3;5;22,368;2;0,2;2,5164;US-2015-108966;OFF-ST-10000760
6;4;6;48,86;7;0;14,1694;CA-2014-115812;FUR-FU-10001487
7;4;7;7,28;4;0;1,9656;CA-2014-115812;OFF-AR-10002833
8;4;8;907,152;6;0,2;90,7152;CA-2014-115812;TEC-PH-10002275
9;4;9;18,504;3;0,2;5,7825;CA-2014-115812;OFF-BI-10003910
10;4;10;114,9;5;0;34,47;CA-2014-115812;OFF-AP-10002892
11;4;11;1706,184;9;0,2;85,3092;CA-2014-115812;FUR-TA-10001539
12;4;12;911,424;4;0,2;68,3568;CA-2014-115812;TEC-PH-10002033
13;5;13;15,552;3;0,2;5,4432;CA-2017-114412;OFF-PA-10002365
14;6;14;407,976;3;0,2;132,5922;CA-2016-161389;OFF-BI-10003656
15;7;15;68,81;5;0,8;-123,858;US-2015-118983;OFF-AP-10002311
16;7;16;2,544;3;0,8;-3,816;US-2015-118983;OFF-BI-10000756
17;8;17;665,88;6;0;13,3176;CA-2014-105893;OFF-ST-10004186
18;9;18;55,5;2;0;9,99;CA-2014-167164;OFF-ST-10000107
19;10;19;8,56;2;0;2,4824;CA-2014-143336;OFF-AR-10003056
20;10;20;213,48;3;0,2;16,011;CA-2014-143336;TEC-PH-10001949
21;10;21;22,72;4;0,2;7,384;CA-2014-143336;OFF-BI-10002215
22;11;22;19,46;7;0;5,0596;CA-2016-137330;OFF-AR-10000246
23;11;23;60,34;7;0;15,6884;CA-2016-137330;OFF-AP-10001492
24;12;24;71,372;2;0,3;-1,0196;US-2017-156909;FUR-CH-10002774
25;13;4;1044,63;3;0;240,2649;CA-2015-106320;FUR-TA-10000577
26;14;25;11,648;2;0,2;4,2224;CA-2016-121755;OFF-BI-10001634
27;14;26;90,57;3;0;11,7741;CA-2016-121755;TEC-AC-10003027
28;15;27;3083,43;7;0,5;-1665,0522;US-2015-150630;FUR-BO-10004834
29;15;28;9,618;2;0,7;-7,0532;US-2015-150630;OFF-BI-10000474
30;15;29;124,2;3;0,2;15,525;US-2015-150630;FUR-FU-10004848
31;15;30;3,264;2;0,2;1,1016;US-2015-150630;OFF-EN-10001509
32;15;31;86,304;6;0,2;9,7092;US-2015-150630;OFF-AR-10004042
33;15;32;6,858;6;0,7;-5,715;US-2015-150630;OFF-BI-10001525
34;15;33;15,76;2;0,2;3,546;US-2015-150630;OFF-AR-10001683
35;16;34;29,472;3;0,2;9,9468;CA-2017-107727;OFF-PA-10000249
36;17;35;1097,544;7;0,2;123,4737;CA-2016-117590;TEC-PH-10004977
37;17;36;190,92;5;0,6;-147,963;CA-2016-117590;FUR-FU-10003664
38;18;37;113,328;9;0,2;35,415;CA-2015-117415;OFF-EN-10002986
39;18;38;532,3992;3;0,32;-46,9764;CA-2015-117415;FUR-BO-10002545
40;18;39;212,058;3;0,3;-15,147;CA-2015-117415;FUR-CH-10004218
41;18;40;371,168;4;0,2;41,7564;CA-2015-117415;TEC-PH-10000486
42;19;41;147,168;4;0,2;16,5564;CA-2017-120999;TEC-PH-10004093
43;20;42;77,88;2;0;3,894;CA-2016-101343;OFF-ST-10003479
44;21;43;95,616;2;0,2;9,5616;CA-2017-139619;OFF-ST-10003282
45;22;44;45,98;2;0;19,7714;CA-2016-118255;TEC-AC-10000171
46;22;45;17,46;2;0;8,2062;CA-2016-118255;OFF-BI-10003291
47;23;46;211,96;4;0;8,4784;CA-2014-146703;OFF-ST-10001713
48;24;47;45;3;0;4,95;CA-2016-169194;TEC-AC-10002167
49;24;48;21,8;2;0;6,104;CA-2016-169194;TEC-PH-10003988
50;25;49;38,22;6;0;17,9634;CA-2015-115742;OFF-BI-10004410
51;25;50;75,18;6;0;35,3346;CA-2015-115742;OFF-LA-10002762
52;25;51;6,16;2;0;2,9568;CA-2015-115742;FUR-FU-10001706
53;25;52;89,99;1;0;17,0981;CA-2015-115742;FUR-CH-10003061
54;26;53;15,26;7;0;6,2566;CA-2016-105816;OFF-FA-10000304
55;26;54;1029,95;5;0;298,6855;CA-2016-105816;TEC-PH-10002447
56;27;55;208,56;6;0;52,14;CA-2016-111682;OFF-ST-10000604
57;27;56;32,4;5;0;15,552;CA-2016-111682;OFF-PA-10001569
58;27;57;319,41;5;0,1;7,098;CA-2016-111682;FUR-CH-10003968
59;27;58;14,56;2;0;6,9888;CA-2016-111682;OFF-PA-10000587
60;27;47;30;2;0;3,3;CA-2016-111682;TEC-AC-10002167
61;27;59;48,48;4;0,2;16,362;CA-2016-111682;OFF-BI-10001460
62;27;60;1,68;1;0;0,84;CA-2016-111682;OFF-AR-10001868
63;28;61;13,98;2;0;6,1512;CA-2015-135545;TEC-AC-10004633
64;28;62;25,824;6;0,2;9,3612;CA-2015-135545;OFF-BI-10001078
65;28;63;146,73;3;0;68,9631;CA-2015-135545;OFF-PA-10003892
66;28;64;79,76;4;0;22,3328;CA-2015-135545;FUR-FU-10000397
67;29;65;213,115;5;0,3;-15,2225;US-2015-164175;FUR-CH-10001146
68;30;66;1113,024;8;0,2;111,3024;CA-2014-106376;OFF-AR-10002671
69;30;67;167,968;4;0,2;62,988;CA-2014-106376;TEC-PH-10002726
70;31;68;75,88;2;0;35,6636;CA-2016-119823;OFF-PA-10000482
71;32;69;4,616;1;0,2;1,731;CA-2016-106075;OFF-BI-10004654
72;33;70;19,05;3;0;8,763;CA-2017-114440;OFF-PA-10004675
73;34;71;831,936;8;0,2;-114,3912;US-2015-134026;FUR-CH-10000513
74;34;72;97,04;2;0,2;1,213;US-2015-134026;FUR-FU-10003708
75;34;73;72,784;1;0,2;-18,196;US-2015-134026;OFF-ST-10004123
76;35;74;1,248;3;0,8;-1,9344;US-2017-118038;OFF-BI-10004182
77;35;75;9,708;3;0,6;-5,8248;US-2017-118038;FUR-FU-10000260
78;35;76;27,24;3;0,2;2,724;US-2017-118038;OFF-ST-10000615
79;36;77;19,3;5;0,6;-14,475;US-2014-147606;FUR-FU-10003194
80;37;78;208,16;1;0;56,2032;CA-2016-127208;OFF-AP-10002118
81;37;79;16,74;3;0;8,0352;CA-2016-127208;OFF-BI-10002309
82;38;80;14,9;5;0;4,172;CA-2014-139451;OFF-AR-10002053
83;38;81;21,39;1;0;6,2031;CA-2014-139451;OFF-ST-10002370
84;39;82;200,984;7;0,2;62,8075;CA-2015-149734;OFF-EN-10000927
85;40;83;230,376;3;0,2;-48,9549;US-2017-119662;OFF-ST-10003656
86;41;84;301,96;2;0;33,2156;CA-2017-140088;FUR-CH-10000863
87;42;85;19,99;1;0;6,7966;CA-2017-155558;TEC-AC-10001998
