id;code;name;id_categories;Sub-Category
1;FUR-BO-10001798;Bush Somerset Collection Bookcase;4;Bookcases
2;FUR-CH-10000454;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;5;Chairs
3;OFF-LA-10000240;Self-Adhesive Address Labels for Typewriters by Universal;6;Labels
4;FUR-TA-10000577;Bretford CR4500 Series Slim Rectangular Table;7;Tables
5;OFF-ST-10000760;Eldon Fold 'N Roll Cart System;8;Storage
6;FUR-FU-10001487;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;9;Furnishings
7;OFF-AR-10002833;Newell 322;10;Art
8;TEC-PH-10002275;Mitel 5320 IP Phone VoIP phone;11;Phones
9;OFF-BI-10003910;DXL Angle-View Binders with Locking Rings by Samsill;12;Binders
10;OFF-AP-10002892;Belkin F5C206VTEL 6 Outlet Surge;13;Appliances
11;FUR-TA-10001539;Chromcraft Rectangular Conference Tables;7;Tables
12;TEC-PH-10002033;Konftel 250 Conferenceÿphoneÿ- Charcoal black;11;Phones
13;OFF-PA-10002365;Xerox 1967;14;Paper
14;OFF-BI-10003656;Fellowes PB200 Plastic Comb Binding Machine;12;Binders
15;OFF-AP-10002311;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;13;Appliances
16;OFF-BI-10000756;Storex DuraTech Recycled Plastic Frosted Binders;12;Binders
17;OFF-ST-10004186;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";8;Storage
18;OFF-ST-10000107;Fellowes Super Stor/Drawer;8;Storage
19;OFF-AR-10003056;Newell 341;10;Art
20;TEC-PH-10001949;Cisco SPA 501G IP Phone;11;Phones
21;OFF-BI-10002215;"Wilson Jones Hanging View Binder, White, 1""";12;Binders
22;OFF-AR-10000246;Newell 318;10;Art
23;OFF-AP-10001492;Acco Six-Outlet Power Strip, 4' Cord Length;13;Appliances
24;FUR-CH-10002774;Global Deluxe Stacking Chair, Gray;5;Chairs
25;OFF-BI-10001634;Wilson Jones Active Use Binders;12;Binders
26;TEC-AC-10003027;Imationÿ8GB Mini TravelDrive USB 2.0ÿFlash Drive;15;Accessories
27;FUR-BO-10004834;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;4;Bookcases
28;OFF-BI-10000474;Avery Recycled Flexi-View Covers for Binding Systems;12;Binders
29;FUR-FU-10004848;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";9;Furnishings
30;OFF-EN-10001509;Poly String Tie Envelopes;16;Envelopes
31;OFF-AR-10004042;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;10;Art
32;OFF-BI-10001525;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";12;Binders
33;OFF-AR-10001683;Lumber Crayons;10;Art
34;OFF-PA-10000249;Easy-staple paper;14;Paper
35;TEC-PH-10004977;GE 30524EE4;11;Phones
36;FUR-FU-10003664;Electrix Architect's Clamp-On Swing Arm Lamp, Black;9;Furnishings
37;OFF-EN-10002986;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";16;Envelopes
38;FUR-BO-10002545;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;4;Bookcases
39;FUR-CH-10004218;Global Fabric Manager's Chair, Dark Gray;5;Chairs
40;TEC-PH-10000486;Plantronics HL10 Handset Lifter;11;Phones
41;TEC-PH-10004093;Panasonic Kx-TS550;11;Phones
42;OFF-ST-10003479;Eldon Base for stackable storage shelf, platinum;8;Storage
43;OFF-ST-10003282;Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;8;Storage
44;TEC-AC-10000171;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack;15;Accessories
45;OFF-BI-10003291;Wilson Jones Leather-Like Binders with DublLock Round Rings;12;Binders
46;OFF-ST-10001713;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;8;Storage
47;TEC-AC-10002167;Imationÿ8gb Micro Traveldrive Usb 2.0ÿFlash Drive;15;Accessories
48;TEC-PH-10003988;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;11;Phones
49;OFF-BI-10004410;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;12;Binders
50;OFF-LA-10002762;Avery 485;6;Labels
51;FUR-FU-10001706;Longer-Life Soft White Bulbs;9;Furnishings
52;FUR-CH-10003061;Global Leather Task Chair, Black;5;Chairs
53;OFF-FA-10000304;Advantus Push Pins;17;Fasteners
54;TEC-PH-10002447;AT&T CL83451 4-Handset Telephone;11;Phones
55;OFF-ST-10000604;Home/Office Personal File Carts;8;Storage
56;OFF-PA-10001569;Xerox 232;14;Paper
57;FUR-CH-10003968;Novimex Turbo Task Chair;5;Chairs
